solv_comb_sm,salt_sm,true_conductivity_log,class,group
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.51905,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.56576,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.19313,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.15372,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.11525,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.06049,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.00233,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.08465,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.19493,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.19611,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.21674,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.2588,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.30822,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.36683,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.45244,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.56197,Ether,in-house
C(COCCOC)(COCCOC)(COCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.30298,Ether,in-house
C(COCCOC)(COCCOC)(COCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.25849,Ether,in-house
C(COCCOC)(COCCOC)(COCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.20213,Ether,in-house
