smiles,IE,EA
CC(C)(C)CN1C=C[C]([C]2C=CN(C)C=C2)C(=C1)O,1.852178542,-0.231104989
c1c(c2c(cc1)nccn2)OC,4.593180253,1.284504843
CNC1=C(C(=O)N)OC=CO1,3.682856976,0.171599778
COCCOCCOc1c(C#N)nccn1,5.455056493,1.470879263
COCCOCCOCCOc1cc(Cl)sc1,4.361542336,1.249741182
Cc1cn(C)cc(c1=c1ccn(C)cc1)/N=C(/C)\O,1.677851016,0.089446073
C(=O)(CCC=C)N1[C@@H](OC)CCC1,5.196459921,-0.697414779
O=c1c2c(c3c(c(=O)o1)cccc3)cccc2,5.329301932,1.367661779
COCCOc1ccc(C#N)c2c1ONO2,4.765365335,0.714833681
COc1c2CCCCc2c(C#N)c(c1O)O,4.583817774,0.405243772
C1[C@H](C[C@H](SC1)C#C)C#C,4.967920536,0.869083076
c1(P(OCC)OCC)ccccc1,4.384687632,0.268547336
c1ccc(cc1)c1cccc2c1n(C#N)s[nH]2,4.100565118,2.883485936
c1ccc(cc1)c1cc(N)sc1,3.697692912,0.140975411
[Si]1([Si](CSCCCSC1)(C)C)(C)C,4.303641981,-0.716230534
CN(C)[C]1CC=CS[C]1N(=O)=O,4.042032087,1.475711422
C#C[C@@H]1CCC[C@@H]1F,6.089202564,-0.664586987
C1C(CCSC1)CC,4.653605175,-0.967256641
c1ccc2c(c1)n(C(Cl)(Cl)Cl)sn2O,4.331951259,3.990536984
c1c(cc2c(c1C(=O)O)ONO2)C(=O)O,4.85213563,1.26105694
COCCOCCOc1cccc2c1[nH]sn2C(Cl)(Cl)Cl,3.526909499,3.966296662
COc1cc(cs1)C(=O)O,4.513810271,0.707431327
CN1C[C@H](N(C)C[C@H]1N(=O)=O)N(=O)=O,5.189876211,1.393163779
C/N=c/1\cc[nH]cc1F,5.392414826,0.882216491
c1cc(ccn1)c1ccnc(c1N(C)C)C,4.03110024,0.834494065
C#Cc1cc(C#N)c2c(c1)ONO2,4.796498383,1.06863958
COCCOCCOc1cc(cc2c1[nH]s[nH]2)C(Br)(Br)Br,3.261519376,3.166117277
CC(C)(C)c1cc(c(cc1OC)OCOCCOC)C(C)(C)C,3.963805291,-0.903204325
Cn1ccc(=c2c(cn(C)cc2Cl)c2ccccc2)cc1,2.085519762,-0.063337333
CNc1ccc(n1C)OC,2.787642566,-0.737452733
CN(C)C1=COC=C[C@H]1C(=O)O,3.655046967,0.000424749
