solv_1_sm,solv_2_sm,solv_3_sm,solv_4_sm,salt_sm,solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,conc_salt,temperature,conductivity,conductivity_log
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,0,0.02483075929701109,-1.60501
B(OCCF)(OCCF)OCCF,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.8,80,1.2815631168353225,0.10774
B(OCCF)(OCCF)OCCF,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.8,70,1.1879550279416518,0.0748
B(OCCF)(OCCF)OCCF,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.8,60,1.062918583275689,0.0265
B(OCCF)(OCCF)OCCF,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.8,50,0.9340712391757714,-0.02962
B(OCCF)(OCCF)OCCF,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.8,40,0.7980681886796374,-0.09796
B(OCCF)(OCCF)OCCF,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.8,30,0.6504740866849621,-0.18677
B(OCCF)(OCCF)OCCF,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.8,20,0.5026897153690669,-0.2987
B(OCCF)(OCCF)OCCF,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.8,10,0.36819679175157904,-0.43392
B(OCCF)(OCCF)OCCF,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.8,0,0.2493273952886006,-0.60323
C(COCCOC)(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,1.9191989616845355,0.28312
C(COCCOC)(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,1.8153902557255552,0.25897
C(COCCOC)(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.6925441263326622,0.22854
C(COCCOC)(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.5487096341458921,0.18997
C(COCCOC)(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,1.3900166423714253,0.14302
C(COCCOC)(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,1.2111557629827332,0.0832
C(COCCOC)(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,1.0297931531974434,0.01275
C(COCCOC)(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,10,0.8451620736386692,-0.07306
