solvent_1_smiles,solvent_2_smiles,solvent_3_smiles,salt_1_smiles,salt_2_smiles,additive_smiles,protocol,current_density,coulombic_efficiency,log(1-CE)
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,1,0.5,0.917,-2.488914671
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,1,0.5,0.819,-1.709258248
COC(=O)OC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.5,0.173,-0.189950584
COCCOC,C1COCO1,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,,1,0.5,0.509,-0.711311151
COCCOC,C1COCO1,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,,1,0.5,0.732,-1.316768298
COCCOC,C1COCO1,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,O=[N+]([O-])[O-].[Li+],1,0.5,0.958,-3.170085661
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,O=C1OCC(F)O1,1,0.5,0.967,-3.411247718
O=C1OCCO1,CCOC(=O)OCC(F)(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.25,0.975,-3.688879454
O=C1OCCO1,CCOC(=O)OCC(F)(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.25,0.991,-4.710530702
O=C1OCCO1,CCOC(=O)OCC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.25,0.939,-2.796881415
O=C1OCCO1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,1,0.6,0.957,-3.146555163
O=C1OCC(F)O1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,1,0.6,0.983,-4.074541935
O=C1OC(F)C(F)O1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,1,0.6,0.978,-3.816712826
O=C1OCC(C(F)(F)F)O1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,1,0.6,0.542,-0.780886095
O=C1OCC(F)O1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,O=S1(=O)OCCO1,1,0.6,0.988,-4.422848629
O=C1OCC(F)O1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,O=S1(=O)OCCO1,1,0.6,0.991,-4.710530702
O=C1OCCO1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,,4,1,0.3319,-0.403317416
O=C1OCC(F)O1,COCCOC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,4,1,0.8794,-2.115275995
O=C1OCC(F)O1,COCCOC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,4,1,0.9757,-3.717278929
O=C1OCC(F)O1,COCCOC,FC(F)C(F)(F)COC(F)(F)C(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,4,1,0.9834,-4.098352584
O=C1OCCO1,COC(=O)OC,COCCOCCOCCOCCOC,F[P-](F)(F)(F)(F)F.[Li+],,O=[N+]([O-])[O-].[Li+],1,1,0.982,-4.017383521
O=C1OCCO1,COC(=O)OC,COCCOCCOCCOCCOC,F[P-](F)(F)(F)(F)F.[Li+],,O=[N+]([O-])[O-].[Li+],1,2,0.98,-3.912023005
O=C1OCCO1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,FC(F)(F)COB(OCC(F)(F)F)OCC(F)(F)F,1,0.5,0.91,-2.407945609
CCn1cc[n+](C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,1,0.92,-2.525728644
CO[Si](C)(C)OC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],O=[N+]([O-])[O-].[Li+],1,2,0.97,-3.506557897
CCCCOCCCC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,4,0.5,0.99,-4.605170186
