solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,mol_wt_solv_1,mol_wt_solv_2,mol_wt_solv_3,mol_wt_solv_4,mol_wt_salt,conc_salt,temperature
1,0,0,0,88.01604399,0,0,0,195.9280204,1,-30
1,0,0,0,88.01604399,0,0,0,195.9280204,1,-20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1,-30
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1,-20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1,-10
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1,0
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1,20
0.7,0.3,0,0,88.01604399,102.0316941,0,0,195.9280204,1,-20
0.7,0.3,0,0,88.01604399,102.0316941,0,0,195.9280204,1,-10
0.7,0.3,0,0,88.01604399,102.0316941,0,0,195.9280204,1,0
0.7,0.3,0,0,88.01604399,102.0316941,0,0,195.9280204,1,20
0.7,0.3,0,0,88.01604399,102.0316941,0,0,195.9280204,1,40
1,0,0,0,88.01604399,0,0,0,195.9280204,1.5,-50
1,0,0,0,88.01604399,0,0,0,195.9280204,1.5,-40
1,0,0,0,88.01604399,0,0,0,195.9280204,1.5,-30
1,0,0,0,88.01604399,0,0,0,195.9280204,1.5,-20
1,0,0,0,88.01604399,0,0,0,195.9280204,1.5,-10
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1.5,-40
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1.5,-30
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1.5,-20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1.5,-10
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1.5,0
1,0,0,0,88.01604399,0,0,0,195.9280204,2,-30
1,0,0,0,88.01604399,0,0,0,195.9280204,2,-20
1,0,0,0,88.01604399,0,0,0,195.9280204,2,-10
1,0,0,0,88.01604399,0,0,0,195.9280204,2,0
1,0,0,0,88.01604399,0,0,0,195.9280204,2,20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,2,-30
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,2,-20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,2,-10
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,2,0
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,2,20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,3,-20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,3,-10
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,3,0
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,3,20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,3,40
0.25,0.25,0.5,0,88.01604399,102.0316941,92.06260026,0,195.9280204,1,-50
0.25,0.25,0.5,0,88.01604399,102.0316941,92.06260026,0,195.9280204,1,-40
0.25,0.25,0.5,0,88.01604399,102.0316941,92.06260026,0,195.9280204,1,-30
0.25,0.25,0.5,0,88.01604399,102.0316941,92.06260026,0,195.9280204,1,-20
0.25,0.25,0.5,0,88.01604399,102.0316941,92.06260026,0,195.9280204,1,-10
0.5,0.5,0,0,102.0316941,118.0993797,0,0,195.9280204,1,-30
0.5,0.5,0,0,102.0316941,118.0993797,0,0,195.9280204,1,-20
0.5,0.5,0,0,102.0316941,118.0993797,0,0,195.9280204,1,-10
0.5,0.5,0,0,102.0316941,118.0993797,0,0,195.9280204,1,0
0.5,0.5,0,0,102.0316941,118.0993797,0,0,195.9280204,1,20
0.7,0.3,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-60
0.7,0.3,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-50
0.7,0.3,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-40
0.7,0.3,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-30
0.7,0.3,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-20
0.5,0.5,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-60
0.5,0.5,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-50
0.5,0.5,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-40
0.5,0.5,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-30
0.5,0.5,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-20
0.3,0.7,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-60
0.3,0.7,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-50
0.3,0.7,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-40
0.3,0.7,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-30
0.3,0.7,0,0,102.0316941,83.95335542,0,0,195.9280204,1,-20
1,0,0,0,102.0316941,0,0,0,195.9280204,0.2,-30
1,0,0,0,102.0316941,0,0,0,195.9280204,0.2,-20
1,0,0,0,102.0316941,0,0,0,195.9280204,0.2,-10
1,0,0,0,102.0316941,0,0,0,195.9280204,0.2,0
1,0,0,0,102.0316941,0,0,0,195.9280204,0.2,20
1,0,0,0,102.0316941,0,0,0,195.9280204,1,-60
1,0,0,0,102.0316941,0,0,0,195.9280204,1,-50
1,0,0,0,102.0316941,0,0,0,195.9280204,1,-40
1,0,0,0,102.0316941,0,0,0,195.9280204,1,-30
1,0,0,0,102.0316941,0,0,0,195.9280204,1,-20
0.7,0.3,0,0,102.0316941,92.06260026,0,0,195.9280204,1,-40
0.7,0.3,0,0,102.0316941,92.06260026,0,0,195.9280204,1,-30
0.7,0.3,0,0,102.0316941,92.06260026,0,0,195.9280204,1,-20
0.7,0.3,0,0,102.0316941,92.06260026,0,0,195.9280204,1,-10
0.7,0.3,0,0,102.0316941,92.06260026,0,0,195.9280204,1,0
1,0,0,0,88.01604399,0,0,0,151.9801855,1,-60
1,0,0,0,88.01604399,0,0,0,151.9801855,1,-50
1,0,0,0,88.01604399,0,0,0,151.9801855,1,-40
1,0,0,0,88.01604399,0,0,0,151.9801855,1,-30
1,0,0,0,88.01604399,0,0,0,151.9801855,1,-20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,151.9801855,1,-60
0.5,0.5,0,0,88.01604399,102.0316941,0,0,151.9801855,1,-50
0.5,0.5,0,0,88.01604399,102.0316941,0,0,151.9801855,1,-40
0.5,0.5,0,0,88.01604399,102.0316941,0,0,151.9801855,1,-30
0.5,0.5,0,0,88.01604399,102.0316941,0,0,151.9801855,1,-20
0.5,0.5,0,0,88.01604399,118.0993797,0,0,155.9680291,1,20
0.5,0.5,0,0,88.01604399,118.0993797,0,0,155.9680291,1,30
0.5,0.5,0,0,88.01604399,118.0993797,0,0,155.9680291,1,60
0.5,0.5,0,0,88.01604399,118.0993797,0,0,155.9680291,1,80
0.5,0.5,0,0,88.01604399,102.0316941,0,0,155.9680291,1,-50
0.5,0.5,0,0,88.01604399,102.0316941,0,0,155.9680291,1,-40
0.5,0.5,0,0,88.01604399,102.0316941,0,0,155.9680291,1,-30
0.5,0.5,0,0,88.01604399,102.0316941,0,0,155.9680291,1,-20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,155.9680291,1,-10
0.5,0.5,0,0,88.01604399,118.0993797,0,0,286.9332984,1,-10
0.5,0.5,0,0,88.01604399,118.0993797,0,0,286.9332984,1,0
0.5,0.5,0,0,88.01604399,118.0993797,0,0,286.9332984,1,20
0.5,0.5,0,0,88.01604399,118.0993797,0,0,286.9332984,1,40
0.5,0.5,0,0,88.01604399,118.0993797,0,0,286.9332984,1,60
0.5,0.5,0,0,88.01604399,102.0316941,0,0,286.9332984,1,-40
0.5,0.5,0,0,88.01604399,102.0316941,0,0,286.9332984,1,-30
0.5,0.5,0,0,88.01604399,102.0316941,0,0,286.9332984,1,-20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,286.9332984,1,-10
0.5,0.5,0,0,88.01604399,102.0316941,0,0,286.9332984,1,0
0.5,0.5,0,0,88.01604399,102.0316941,0,0,94.01892283,1,-60
0.5,0.5,0,0,88.01604399,102.0316941,0,0,94.01892283,1,-50
0.5,0.5,0,0,88.01604399,102.0316941,0,0,94.01892283,1,-40
0.5,0.5,0,0,88.01604399,102.0316941,0,0,94.01892283,1,-30
0.5,0.5,0,0,88.01604399,102.0316941,0,0,94.01892283,1,-20
1,0,0,0,102.0316941,0,0,0,229.1080858,0.0090763,25
1,0,0,0,102.0316941,0,0,0,229.1080858,0.0068071,25
