smiles,IE,EA
COCCOCCOc1cc2c(cc1C(Cl)(Cl)Cl)[nH]s[nH]2,3.540664721,2.945259829
C/C(=N/c1ccc2c(c1)n(C(Br)(Br)Br)s[nH]2)/O,3.732871667,2.968080765
COCCOCCOc1ccc2c(c1)n(C(F)(F)F)s[nH]2,3.879399208,3.253485786
COCCOCCOCCOc1cc(cc2c1[nH]s[nH]2)Cl,3.266392257,2.044944796
COCCOCCOn1c2cc(ccc2[nH]s1)F,3.935573681,2.605657342
CCc1cc(cc2c1[nH]s[nH]2)C(F)(F)F,3.540506397,2.290337508
C#Cc1ccc2c(c1C(=O)C)[nH]s[nH]2,3.232402314,1.31696423
CCn1c2cccc(c2[nH]s1)F,3.370010244,2.055320005
c1cc2c(cc1O)[nH]sn2N(=O)=O,4.01408807,3.446231131
CC(=O)c1ccc2c(c1C(Cl)(Cl)Cl)[nH]s[nH]2,3.587775999,3.141523965
CC(=O)c1cc2c(cc1C(Cl)(Cl)Cl)[nH]s[nH]2,3.604201569,3.16042223
CC(=O)n1c2ccccc2n(C(Cl)(Cl)Cl)s1,4.086216057,4.141000824
COCCOn1c2ccccc2n(Cl)s1,4.600005122,4.061077974
c1cc(c2c(c1)[nH]sn2F)C(Cl)(Cl)Cl,4.791673976,4.742822862
CC(=O)c1ccc2c(c1)n(F)s[nH]2,4.801500502,4.53541996
CC(=O)c1c(ccc2c1[nH]s[nH]2)F,3.345938839,1.074737191
CC(=O)n1c2c(cccc2[nH]s1)C(Cl)(Cl)Cl,4.000947241,1.993673409
c1cc(c2c(c1)[nH]sn2N(=O)=O)C(Br)(Br)Br,3.013507852,4.281256
c1cc2c(c(c1)O)[nH]sn2C(Br)(Br)Br,3.8191323,2.856314436
COn1c2ccc(cc2[nH]s1)C(Br)(Br)Br,4.006114544,2.79963804
c1cc(c2c(c1)n(F)s[nH]2)C(Cl)(Cl)Cl,4.892603426,4.456881414
c1ccc2c(c1)n(C(F)(F)F)sn2O,4.453683178,2.526400921
c1cc2c(cc1C(Cl)(Cl)Cl)n(C(Br)(Br)Br)s[nH]2,3.931078358,2.843159593
COn1c2cc(ccc2[nH]s1)C(Cl)(Cl)Cl,4.013288956,2.712577479
c1cc(c2c(c1)n(N(=O)=O)s[nH]2)C(F)(F)F,4.307606573,3.020346729
c1cc2c(cc1C(Cl)(Cl)Cl)[nH]sn2C(Br)(Br)Br,3.946653898,4.367293647
c1cc2c(c(c1)O)n(C(Cl)(Cl)Cl)s[nH]2,3.884716484,4.589083084
c1cc(c2c(c1)[nH]sn2C(F)(F)F)C(=O)O,4.134402368,2.643090979
c1c(cc2c(c1F)[nH]s[nH]2)C(Br)(Br)Br,3.657077078,2.839247184
c1cc2c(c(c1C(Br)(Br)Br)Cl)[nH]s[nH]2,3.63197361,2.760479009
COn1c2cccc(c2[nH]s1)F,4.040914445,1.911251311
c1cc(c2c(c1)n(C(F)(F)F)s[nH]2)Cl,4.108915982,2.683784254
c1cc2c(c(c1C(=O)O)C(F)(F)F)[nH]s[nH]2,3.46537683,1.769313149
c1cc2c(c(c1C(Br)(Br)Br)F)[nH]s[nH]2,3.680198994,2.774782781
COc1cccc2c1[nH]sn2C(Cl)(Cl)Cl,3.749542215,4.288938821
c1c(cc2c(c1F)[nH]s[nH]2)C(Cl)(Cl)Cl,3.664536543,3.081193179
c1cc(c2c(c1C(F)(F)F)[nH]s[nH]2)N(=O)=O,3.774850437,2.217072791
COc1c(ccc2c1[nH]s[nH]2)C(Br)(Br)Br,3.656220159,3.107697581
c1cc(c2c(c1)n(O)s[nH]2)C(F)(F)F,4.114540381,4.110750987
c1cc2c(c(c1C(F)(F)F)N(=O)=O)[nH]s[nH]2,3.747362948,2.154320758
COc1cc2c(cc1Cl)[nH]s[nH]2,3.514613668,1.330354416
COn1c2ccc(cc2[nH]s1)Cl,3.988623991,3.785947501
c1c(c(cc2c1[nH]s[nH]2)N(=O)=O)F,3.703144754,3.004796065
c1cc2c(c(c1C(F)(F)F)O)[nH]s[nH]2,3.639221518,2.579917713
c1c(c(cc2c1[nH]s[nH]2)N(=O)=O)Cl,3.668257607,2.98976549
c1c(c(cc2c1[nH]s[nH]2)C(F)(F)F)C(Cl)(Cl)Cl,3.67785092,3.216538164
c1cc2c(cc1F)[nH]sn2C(Cl)(Cl)Cl,3.869947339,4.24700225
COc1ccc2c(c1C(F)(F)F)[nH]s[nH]2,3.282052373,0.472514596
c1cc2c(cc1C(Br)(Br)Br)[nH]sn2O,4.010113169,2.904698099
c1cc2c(cc1F)[nH]sn2C(=O)O,3.805479473,2.99733371
COc1ccc2c(c1)[nH]sn2C(Cl)(Cl)Cl,3.898438211,2.658768573
c1cc(c(c2c1[nH]s[nH]2)C(Br)(Br)Br)N(=O)=O,3.69740393,3.649279049
c1c(c(cc2c1[nH]s[nH]2)N(=O)=O)C(Cl)(Cl)Cl,3.724907349,2.157827062
c1c(cc2c(c1C(Br)(Br)Br)[nH]s[nH]2)F,3.601664812,3.151846362
COc1cc(c2c(c1)[nH]s[nH]2)C(Br)(Br)Br,3.385023616,3.230428231
COc1ccc2c(c1)n(C(Cl)(Cl)Cl)s[nH]2,3.733699271,4.366100956
c1c(cc2c(c1C(=O)O)[nH]s[nH]2)F,3.43160769,1.033686375
COc1ccc2c(c1)[nH]sn2C(Br)(Br)Br,3.791318231,2.862007378
c1c(c(cc2c1[nH]s[nH]2)C(Br)(Br)Br)C(=O)O,3.619306317,3.463716214
COc1cc2c(cc1C(Br)(Br)Br)[nH]s[nH]2,3.480444334,3.125476909
c1c(cc2c(c1C(Br)(Br)Br)[nH]s[nH]2)Cl,3.609305221,3.13994817
c1c(cc2c(c1C(Cl)(Cl)Cl)[nH]s[nH]2)C(Br)(Br)Br,3.641294647,2.813791911
c1cc2c(cc1N(=O)=O)[nH]sn2C(Br)(Br)Br,4.073882762,4.348496682
c1c(cc2c(c1C(F)(F)F)[nH]s[nH]2)Cl,3.672568239,0.648959179
COn1c2c(cccc2[nH]s1)C(Br)(Br)Br,3.915030681,3.17318678
c1ccc2c(c1)n(C(Cl)(Cl)Cl)sn2F,5.050351973,4.47803011
c1cc(c2c(c1)n(C(Br)(Br)Br)s[nH]2)C(Cl)(Cl)Cl,3.96106902,2.866013768
c1cc2c(c(c1C(F)(F)F)C(Cl)(Cl)Cl)[nH]s[nH]2,3.498861896,3.569151649
c1cc2c(cc1C(F)(F)F)[nH]sn2N(=O)=O,4.256898382,3.438174145
c1cc2c(cc1C(Cl)(Cl)Cl)n(N(=O)=O)s[nH]2,4.211900846,3.548151732
c1ccc2c(c1)n(Cl)sn2O,4.594418701,4.111762883
c1c(cc2c(c1Cl)[nH]s[nH]2)N(=O)=O,3.722192766,2.023309811
c1cc2c(c(c1Cl)O)[nH]s[nH]2,3.519431319,2.53065753
c1cc2c(c(c1F)O)[nH]s[nH]2,3.520977981,2.496087519
c1cc2c(cc1F)[nH]sn2N(=O)=O,4.165328508,3.496241902
c1c(cc2c(c1F)[nH]s[nH]2)C(=O)O,3.665494389,1.041564166
c1cc2c(cc1C(Br)(Br)Br)[nH]sn2F,4.772496848,3.143575644
c1c(cc2c(c1F)[nH]s[nH]2)N(=O)=O,3.771083348,2.174826859
c1cc(c2c(c1)n(C(=O)O)s[nH]2)F,3.879477555,2.546439741
CC(=O)c1ccc(c2c1[nH]s[nH]2)C(Br)(Br)Br,3.454472926,3.218613198
c1cc(c2c(c1)n(C(Br)(Br)Br)s[nH]2)C(F)(F)F,4.007390553,2.872688804
c1cc(c2c(c1)n(O)s[nH]2)Cl,4.036122852,1.82503058
c1cc2c(c(c1C(Cl)(Cl)Cl)N(=O)=O)[nH]s[nH]2,3.774076151,2.123288398
c1c(cc(c2c1[nH]s[nH]2)N(=O)=O)C(Cl)(Cl)Cl,3.77562588,2.104510361
COCCOc1cc2c(cc1F)[nH]s[nH]2,3.460562532,0.018741836
c1cc2c(c(c1C(Br)(Br)Br)C(=O)O)[nH]s[nH]2,3.564368217,3.434884357
c1cc(c2c(c1)n(C(Cl)(Cl)Cl)s[nH]2)C(=O)O,3.690937446,4.313561646
c1ccc2c(c1)n(C(Cl)(Cl)Cl)sn2O,4.331951259,3.990536984
c1ccc2c(c1)n(C(=O)O)sn2C(Cl)(Cl)Cl,4.038244445,4.108860193
c1c(cc2c(c1F)[nH]s[nH]2)O,3.516788116,2.34349921
c1cc2c(c(c1C(Cl)(Cl)Cl)F)[nH]s[nH]2,3.573842804,2.691026839
COCCOn1c2cccc(c2[nH]s1)F,4.039019474,1.770785677
c1cc2c(cc1C(Br)(Br)Br)[nH]sn2C(=O)O,3.871916464,2.865752745
COc1ccc2c(c1F)[nH]s[nH]2,3.511006473,2.314905681
c1cc2c(c(c1F)N(=O)=O)[nH]s[nH]2,3.607430531,2.070136783
c1cc(c(c2c1[nH]s[nH]2)C(F)(F)F)N(=O)=O,3.618902388,2.015730578
c1cc(c2c(c1)[nH]sn2C(Cl)(Cl)Cl)C(=O)O,4.332417782,4.363513608
COc1cccc2c1[nH]sn2C(Br)(Br)Br,3.766850524,2.857991854
c1cc(c2c(c1C(Cl)(Cl)Cl)[nH]s[nH]2)N(=O)=O,3.657464173,3.398851478
c1cc2c(c(c1C(=O)O)Cl)[nH]s[nH]2,3.508503866,2.725562577
c1cc(c2c(c1)n(C(=O)O)s[nH]2)Cl,3.859649196,2.48242453
c1cc(c(c2c1[nH]s[nH]2)C(Cl)(Cl)Cl)N(=O)=O,3.727335617,3.360951441
c1c(c(cc2c1[nH]s[nH]2)Cl)C(F)(F)F,3.631183386,2.432819184
COc1cc(c2c(c1)[nH]s[nH]2)C(F)(F)F,3.56355467,0.439484509
C/C(=N/c1c(ccc2c1[nH]s[nH]2)Cl)/O,3.494146561,1.905745194
c1c(cc(c2c1[nH]s[nH]2)O)F,3.489889329,2.267050438
c1c(cc2c(c1C(F)(F)F)[nH]s[nH]2)C(Br)(Br)Br,3.688649013,3.307630593
C/C(=N/c1cc2c(cc1C(F)(F)F)[nH]s[nH]2)/O,3.50798928,2.292758608
C/C(=N/c1ccc2c(c1)[nH]sn2C(F)(F)F)/O,3.902540928,2.630783504
c1c(c(cc2c1[nH]s[nH]2)C(Cl)(Cl)Cl)C(=O)O,3.625926746,3.164637089
c1c(cc2c(c1C(F)(F)F)[nH]s[nH]2)C(=O)O,3.700555609,1.1510765
C/C(=N/c1ccc2c(c1C(F)(F)F)[nH]s[nH]2)/O,3.387453998,0.582873438
c1cc2c(c(c1)N(=O)=O)n(C(Cl)(Cl)Cl)s[nH]2,4.478507367,4.378189472
c1cc(c2c(c1C(=O)O)[nH]s[nH]2)C(Cl)(Cl)Cl,3.507955788,3.048236846
c1cc2c(cc1Cl)n(F)s[nH]2,4.678483188,4.473180168
c1cc2c(cc1C(Cl)(Cl)Cl)[nH]sn2O,4.023691283,2.716543174
c1cc(c2c(c1C(=O)O)[nH]s[nH]2)C(Br)(Br)Br,3.462797348,3.230992048
c1cc2c(cc1N(=O)=O)n(C(F)(F)F)s[nH]2,4.226852612,2.153287185
c1cc(c2c(c1)[nH]sn2C(=O)O)C(F)(F)F,3.949747291,2.643651582
c1cc2c(c(c1C(Br)(Br)Br)O)[nH]s[nH]2,3.543880244,3.173827328
c1c(cc2c(c1C(=O)O)[nH]s[nH]2)C(F)(F)F,3.507791597,1.112584517
c1cc2c(cc1N(=O)=O)[nH]sn2C(Cl)(Cl)Cl,4.120222499,4.379990226
c1cc2c(cc1C(Cl)(Cl)Cl)[nH]sn2C(=O)O,3.883991034,3.055625344
c1cc2c(cc1C(Cl)(Cl)Cl)n(C(F)(F)F)s[nH]2,4.105731583,2.701399758
C/C(=N/c1c(ccc2c1[nH]s[nH]2)C(Cl)(Cl)Cl)/O,3.483218126,3.192497089
C/C(=N/c1ccc(c2c1[nH]s[nH]2)Cl)/O,3.426033253,2.04440437
c1cc2c(cc1N(=O)=O)[nH]sn2C(F)(F)F,4.205214196,2.197320391
c1cc2c(cc1C(F)(F)F)n(O)s[nH]2,4.067597988,2.032054239
COc1cccc2c1n(C(Cl)(Cl)Cl)s[nH]2,3.850473526,4.555657048
c1c(c(cc2c1[nH]s[nH]2)N(=O)=O)C(Br)(Br)Br,3.657781548,3.474577576
c1cc2c(cc1C(Br)(Br)Br)[nH]sn2C(F)(F)F,3.941836781,2.829401838
c1cc(c2c(c1C(=O)O)[nH]s[nH]2)Cl,3.500432145,0.952613338
C/C(=N/n1c2cc(ccc2[nH]s1)F)/O,3.347993099,2.274115615
C/C(=N/c1ccc2c(c1Cl)[nH]s[nH]2)/O,3.340841515,2.573740019
C/C(=N/c1ccc2c(c1F)[nH]s[nH]2)/O,3.485683241,2.271755703
C/C(=N/n1c2c(cccc2[nH]s1)F)/O,3.516276613,2.053869273
c1c(cc(c2c1[nH]s[nH]2)N(=O)=O)F,3.643146926,2.115029248
c1c(cc2c(c1C(Cl)(Cl)Cl)[nH]s[nH]2)N(=O)=O,3.764533668,2.167808663
c1cc2c(c(c1)N(=O)=O)n(C(F)(F)F)s[nH]2,4.417098259,2.172269512
COn1c2cc(ccc2[nH]s1)Cl,3.969732921,3.79618155
c1cc2c(cc1C(Cl)(Cl)Cl)n(O)s[nH]2,4.038987248,2.690785569
c1c(cc(c2c1[nH]s[nH]2)O)C(Br)(Br)Br,3.537903924,3.409356286
c1c(cc2c(c1C(F)(F)F)[nH]s[nH]2)O,3.412967743,2.682345006
C/C(=N/n1c2ccccc2n(F)s1)/O,4.378480802,4.719363582
C/C(=N/c1cccc2c1n(C(F)(F)F)s[nH]2)/O,3.722032205,3.148467815
c1cc2c(cc1C(Cl)(Cl)Cl)n(C(=O)O)s[nH]2,3.865557863,3.054340123
C/C(=N/n1c2ccc(cc2[nH]s1)Cl)/O,3.358599074,2.258914457
