solv_1_sm,solv_2_sm,solv_3_sm,solv_4_sm,salt_sm,,solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,conc_salt,temperature,conductivity,conductivity_log
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.5,0.05,0.45,0,1,15,1.400000001,0.336472237
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.5,0.05,0.45,0,1,25,1.7,0.530628251
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.5,0.05,0.45,0,1,50,2.799999999,1.029619417
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,,0.5,0.05,0.45,0,1,-15,0.26,-1.347073648
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,,0.5,0.05,0.45,0,1,15,0.72,-0.328504067
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,,0.5,0.05,0.45,0,1,25,0.93,-0.072570693
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,,0.5,0.05,0.45,0,1,40,1.299999999,0.262364264
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,,0.5,0.05,0.45,0,1,50,1.5,0.405465108
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.5,0.05,0.45,0,1,-20,0.47,-0.755022584
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.5,0.05,0.45,0,1,1.42,1.2,0.182321557
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.5,0.05,0.45,0,1,25,1.9,0.641853886
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.5,0.05,0.45,0,1,35,3.499999998,1.252762968
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.5,0.05,0.45,0,1,50,7,1.945910149
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,,1,0,0,0,0.0097362,25,0.235810764,-1.444725643
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,,1,0,0,0,0.007299,25,0.179511606,-1.717515416
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,,1,0,0,0,0.0048663,25,0.121910548,-2.104467716
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,,1,0,0,0,0.0024338,25,0.062709291,-2.769245661
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,,1,0,0,0,0.0017056,25,0.04436095,-3.115395701
CC1COC(=O)O1,,,,[Li+].[O-]Cl(=O)(=O)=O,,1,0,0,0,0.0009767,25,0.025710651,-3.660849937
