solv_comb_sm,conductivity,oxstab,coulombic_efficiency,cond_std,oxstab_std,CE_std,overall_score_1,ROMol
CCC(C)N1CC(CCC1=O)C(F)(F)F,1.4047352645214886,5.318336286386176,0.9865709980687216,0.021032116917466037,0.48068473552548374,0.985892894298023,0.49091121642452107,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9740>
CCC1(CC(C)(C)C#N)C(C)CN1C(C)=O,1.9835955485261683,5.22867829662059,0.9860782067259216,0.029698987487972468,0.4725393409629489,0.9853510080625187,0.4909044810494353,<rdkit.Chem.rdchem.Mol object at 0x2bdbe97b0>
CC1OC(OC1CN1CCC1)(C=O)C#N,2.2242666800367243,5.186949082991106,0.9862428503932612,0.03330238817808175,0.4687482576396987,0.9855320545407045,0.4909022911183,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9820>
CC(CC#N)C(C)OC1CCC(C)OC1(C)C,2.22210935319251,5.188190430110748,0.9861494026154922,0.033270088030613126,0.46886103355743886,0.9854292969227971,0.49089493810858026,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9890>
CC(C)N(C(C)C=O)C(CCC#N)COC=O,2.02383415531463,5.227277719496973,0.9855220950043737,0.03030145203185242,0.4724120990593891,0.9847394930841973,0.49085950457789485,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9900>
CCC1OC(COC1(C)C)OC(C)(CC)C#N,2.1903399672730695,5.202138634187932,0.9852189846655551,0.03279442721318169,0.4701282226383503,0.9844061850363905,0.4908185155130145,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9970>
CCOC1(OCCC1OCC(C)C#N)C(C)C,1.7469079772236613,5.267386385091826,0.9858120361752419,0.02615522986146072,0.47605595620475916,0.9850583199708605,0.49079893699223653,<rdkit.Chem.rdchem.Mol object at 0x2bdbe99e0>
CC(C)OC(C(C)C1CCCO1)C(F)(F)F,1.0254524486522074,5.345509430802568,0.9891733112882092,0.015353380328362429,0.48315340544943525,0.988754465903763,0.49079621305491505,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9a50>
CCCC1OCC(C)(OC(C)C=O)OC1CC,1.3577850065415296,5.307250461594325,0.9877820121231446,0.020329163509868114,0.47967759252331693,0.987224556991944,0.4907863332982926,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9ac0>
CC1CC(OCC(=O)N2CC(C)(C)C12)C#N,1.1977970506932025,5.360395160524316,0.9855382363286405,0.01793377563391196,0.4845057683816391,0.9847572425060789,0.4907749395521379,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9b30>
CC(C)(C1OC1C=O)N1C2CCCC12,1.0657312642187553,5.364750094818263,0.9869712389841504,0.015956446890181945,0.4849014125201131,0.986333009665562,0.4907729867950329,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9ba0>
CCCC(OC)C(C)(CC)CCC,1.9461697724242286,5.18841170373191,0.9895221387490012,0.029138637492577654,0.46888113618248495,0.989138045693325,0.49076208039156793,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9c10>
CCCC1(CC)C(C)CC(C#N)C(C)N1C=O,1.3679614848355939,5.334727780644203,0.9852388829879524,0.02048152880884501,0.48217389659802434,0.9844280657515738,0.49073755208228625,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9c80>
CCC1OCC(C)(C)CC2CC1(O2)C=O,1.6122045680479924,5.294299366364038,0.9852034359819545,0.024138409835987956,0.4785009904051626,0.984389087297669,0.4907194008878105,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9cf0>
CCCC1CC(C)COC(C=O)C(C)O1,1.4715887141736606,5.316034516835464,0.9853195992209758,0.022033066907191985,0.4804756206297383,0.984516823430247,0.49071841861916854,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9d60>
CCC(CC)C1CCCOC(CO1)C=O,1.300963990295575,5.326380968252906,0.9867025088434963,0.019478422135660534,0.48141559183963833,0.9860375069818945,0.49068740191587384,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9dd0>
