solv_1_sm,solv_2_sm,solv_3_sm,solv_4_sm,salt_sm,conductivity_log
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.25527250514581523
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.27875360087795886
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.25527250514581523
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.25527250514581523
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.20411998254920316
O=C1OCCO1,CCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,0.9240724299284353
O=C1OCCO1,CCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,0.9638350307889095
O=C1OCCO1,CCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,1.0366288951763714
O=C1OCCO1,CCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,1.0989896393837828
O=C1OCCO1,CCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,1.1522883445536407
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.7993405492809552
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.8450980399902346
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.9084850190183219
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.9912260758329778
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,1.0413926852457918
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,0.44715803126354314
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,0.4771212548638006
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,0.5797835967330535
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,0.6232492902722493
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,0.7075701762150743
FC(F)C(F)(F)COC(F)(F)C(F)F,O=C1OCCO1,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,0.6232492902722493
FC(F)C(F)(F)COC(F)(F)C(F)F,O=C1OCCO1,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,0.6901960799778832
FC(F)C(F)(F)COC(F)(F)C(F)F,O=C1OCCO1,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,0.7708520116805038
FC(F)C(F)(F)COC(F)(F)C(F)F,O=C1OCCO1,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,0.8388490909095774
FC(F)C(F)(F)COC(F)(F)C(F)F,O=C1OCCO1,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,0.8976270910850307
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,0.0
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,0.04139268524320564
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,0.1760912590087061
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,0.27875360087795886
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,0.32221929485144923
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.4771212548638006
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.5314789172063682
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.6020599912758946
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.6901960799778832
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.7558748557417594
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,-0.4436974994359706
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,0.07918124613710918
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,0.20411998254920316
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,0.32221929485144923
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,0.6020599912758946
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,-0.5686362358480646
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,-0.10790539717988287
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.14612803584274317
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.23044892135127365
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,0.44715803126354314
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,-0.5850266520436834
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,-0.14266750358087613
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,-0.03151705151779496
