smiles,IE,EA,IE_binned
C[C@]12C[C@@H]3C[C@@H]4[C@H]1N2[C@H]34,5.966588834,0.514160795,5
N12CCCN(CCC1)CCC2,2.713814568,-0.976857786,2
c1ccc(cc1)C1(CCCC1)N,4.835782746,-0.820147995,4
CN(C)c1ccsc1N(C)C,3.064841028,-0.570592457,3
C1CCCS[C@H]1O,4.767010778,-0.442549282,4
C/C(=N/c1cc(c2c(c1)ONO2)OCCOC)/O,4.109942145,0.194399287,4
c1c(cc2c(c1C(=O)O)ONO2)O,4.378606807,1.044487808,4
CCc1c(C)ccc2c1ONO2,4.263434372,-0.424295616,4
CCC1=COC(=CC1)NC,3.450878264,-0.869980148,3
C=C[C@@H]1CC[C@H](C1)C(=N)O,5.51558275,-0.478299089,5
COCCOc1cc(C#N)c2c(c1)ONO2,4.412958589,0.915393425,4
c1cc(cc(n1)C)c1ccnc(c1)C=C,5.209326717,1.038347149,5
CCc1c/c(=c/2\ccn(C)cc2C(=O)O)/ccn1C,2.215515805,0.397361108,2
COc1c(ccc2c1ONO2)C(=O)O,4.645566026,0.875024251,4
c12c(C(=O)c3c(C2=O)cccc3)oc2c1ccc1c2C=C[CH][CH]1,0.649762965,2.52737713,0
CC(=O)c1ccc2c(c1Cl)[nH]s[nH]2,3.498041919,2.702499286,3
C[C@@H]1[C@H](NC)SCCS1,4.693313136,-0.943243008,4
CN1C=C[C@@H](C(=C1)C#N)[C@H]1C=CN(C)C=C1C(=O)O,2.448085511,0.546238001,2
C1CC[C@H](S[C@H]1C)NC(=O)C,4.931212741,-0.577207168,4
COC1=CCC(=CS1)F,4.181184282,-0.558813721,4
C=Cc1cc(cn1C)OC,3.585835667,-0.032316423,3
CN(C)[C]1[C](C(=O)N)OC=CO1,3.789517113,0.212658803,3
c1cnc(c(C(Cl)(Cl)Cl)n1)Cl,6.213730983,2.715349054,6
C(CCCO)CCCO,5.811031499,-1.066747654,5
c1(N2C(=O)C=CC2=O)cc(cc(c1)Cl)Cl,5.412160819,2.119379912,5
[Si](CCC[Si](C)(C)C)(C)(C)C,5.01395235,-0.691664532,5
C1[C@@H](C(Cl)(Cl)Cl)SC[C@@H](O)S1,5.197680126,2.339622045,5
c1cc(c(cn1)C#C)c1ccncc1C,5.566323731,0.935677697,5
C#C[C@@H]1CS[C@@H](CS1)O,5.162369615,0.645106175,5
C(=O)(O)c1c(O)ccc(c1)O,4.520538961,0.903248995,4
C#Cc1cc(c2c(c1)ONO2)O,4.462039465,0.508050182,4
C#Cc1cc(cc2c1[nH]s[nH]2)/N=C(/C)\O,3.37985003,0.453886115,3
COCCOc1cc2c(cc1c1ccccc1)ONO2,3.934602145,0.25292976,3
C/C(=N/c1ccc(c2c1ONO2)C(F)(F)F)/O,4.581165391,0.698042197,4
Nc1c(OC=N)cn[nH]1,5.463659995,0.329077465,5
c1c(C(F)(F)F)[nH]c(=O)cn1,5.539752731,1.621677209,5
Cn1ccc(=c2ccn(cc2F)COCCOCCOC)cc1,2.129736837,-0.161567041,2
CC(=O)c1c(c2ccccc2)nccn1,5.103246098,1.484625063,5
Cn1cc(cc1N(=O)=O)C(=O)O,5.733135503,1.975239117,5
CC1=CSC=C(N(=O)=O)S1,4.361963377,2.100870656,4
c1c(csc1N(=O)=O)C(Br)(Br)Br,5.893901093,2.814330155,5
c1cc2c(cc1C(Br)(Br)Br)ON(Cl)O2,5.373348496,3.978312741,5
