solvent_1_smiles,solvent_2_smiles,solvent_3_smiles,salt_1_smiles,salt_2_smiles,additive_smiles,pre_feat_solv_1,pre_feat_solv_2,pre_feat_solv_3,pre_feat_solv_4,pre_feat_solv_5,pre_feat_solv_6,pre_feat_solv_7,pre_feat_solv_8,pre_feat_solv_9,pre_feat_solv_10,solv_ratio_1,solv_ratio_2,solv_ratio_3,num_heavy_atoms_solv_1,num_heavy_atoms_solv_2,num_heavy_atoms_solv_3,mw_solv_1,mw_solv_2,mw_solv_3,pre_feat_salt_1,pre_feat_salt_2,pre_feat_salt_3,pre_feat_salt_4,pre_feat_salt_5,pre_feat_salt_6,pre_feat_salt_7,pre_feat_salt_8,pre_feat_salt_9,pre_feat_salt_10,salt_1_conc,salt_2_conc,num_heavy_atoms_salt_1,num_heavy_atoms_salt_2,mw_salt_1,mw_salt_2,pre_feat_add_1,pre_feat_add_2,pre_feat_add_3,pre_feat_add_4,pre_feat_add_5,pre_feat_add_6,pre_feat_add_7,pre_feat_add_8,pre_feat_add_9,pre_feat_add_10,num_heavy_atoms_add,mw_add,protocol,current_density,coulombic_efficiency,log(1-CE)
CC#N,CF,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,,1077.1465,17.455935,17.468304,49.10414,-27.023987,27.993103,35.09123,-26.713427,14.036748,13.084747,0.6875,0.3125,0,3,2,0,41.0265491,34.02187832,0,577.04285,37.36993,-40.724567,32.637367,20.762426,-5.7456594,2.9056966,-5.752819,-0.8732324,1.1802845,1,0,16,0,286.9332984,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.994,-5.11599581
COCC(F)(F)C(F)(F)COC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-237.99327,-73.943695,46.617752,-2.5755875,14.4133625,-16.605463,8.303621,16.710106,-6.7688217,-9.43331,1,0,0,12,0,0,190.0616924,0,0,46.835907,-37.55774,-2.2605703,-1.6913636,-2.1326401,0.64185625,0.2289303,-0.13060114,0.11225057,0.041150816,1,0,10,0,186.9396855,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.995,-5.298317367
CCN(CC)S(=O)(=O)C(F)(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-187.4074,-53.05052,32.843388,-8.683741,5.6775494,47.98455,19.213034,17.077639,-3.1234512,11.366713,1,0,0,12,0,0,205.0384342,0,0,46.835907,-37.55774,-2.2605703,-1.6913636,-2.1326401,0.64185625,0.2289303,-0.13060114,0.11225057,0.041150816,1,0,10,0,186.9396855,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0.99,-4.605170186
O=C1OCCO1,CCOC(=O)OCC,,[Li+].[O-][Cl+3]([O-])([O-])[O-],,,264.50815,-11.799558,-34.609314,-8.30095,-9.178205,-5.388664,-1.3382225,6.058027,-1.7059735,-2.9999146,0.27027027,0.72972973,0,6,8,0,88.01604399,118.0629942,0,-221.66653,12.3932705,6.67048,-47.99417,62.377247,-7.350935,-0.9504153,-0.9553706,-7.1773024,2.359979,1,0,6,0,105.9645157,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.861,-1.973281346
C1COCO1,,,[Li+].[O-][Cl+3]([O-])([O-])[O-],,,100.62685,43.103977,-9.889453,-1.130639,41.00381,-13.008701,-0.3875848,-6.9210644,4.066602,-0.68142736,1,0,0,5,0,0,74.03677943,0,0,-221.66653,12.3932705,6.67048,-47.99417,62.377247,-7.350935,-0.9504153,-0.9553706,-7.1773024,2.359979,1,0,6,0,105.9645157,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.93,-2.659260037
O=C1OCCO1,CCOC(=O)OC,,O=C1O[B-](F)(F)OC1=O.[Li+],,,46.720318,-25.77961,-40.019657,-14.538684,-8.466415,-7.5989985,4.8288984,12.185302,12.204141,-1.3004963,0.3,0.7,0,6,7,0,88.01604399,104.0473441,0,-149.93027,13.300766,11.945509,26.116226,33.227097,30.072868,-43.61347,6.027027,15.223713,-5.8021784,1.2,0,10,0,144.0017749,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.95,-2.995732274
O=C1OCCO1,CCOC(=O)OCC,,O=C1O[B-](F)(F)OC1=O.[Li+],,,264.50815,-11.799558,-34.609314,-8.30095,-9.178205,-5.388664,-1.3382225,6.058027,-1.7059735,-2.9999146,0.25,0.75,0,6,8,0,88.01604399,118.0629942,0,-149.93027,13.300766,11.945509,26.116226,33.227097,30.072868,-43.61347,6.027027,15.223713,-5.8021784,1,0,10,0,144.0017749,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.95,-2.995732274
C1COCO1,COCOC,,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],,,181.75179,-0.9639855,-12.597649,12.444557,29.045208,-31.193274,-6.11979,-3.504375,-12.363632,3.5192273,0.5,0.5,0,5,5,0,74.03677943,76.0524295,0,1091.2976,68.71759,-31.737816,-26.854004,-14.32159,-11.565385,-9.504401,46.245247,-18.031748,-27.121483,3,0,22,0,386.9269112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.97,-3.506557897
CC1COC(=O)O1,,,F[As-](F)(F)(F)(F)F.[Li+],,,13.96078,-36.66609,-22.260609,16.980927,8.733795,24.343122,-13.191003,-21.466476,-0.9576517,-12.557266,1,0,0,7,0,0,102.0316941,0,0,-93.11358,51.149864,-19.272934,-8.102427,-6.7971306,18.451204,5.505031,-2.8257568,-5.4752183,-0.039569993,1,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0.842,-1.845160246
C1CCOC1,,,F[As-](F)(F)(F)(F)F.[Li+],,,60.811623,0.94652283,-4.2559676,20.332535,45.908714,-7.1135936,-13.550861,-3.3779814,6.3056235,-2.0231369,1,0,0,5,0,0,72.05751488,0,0,-93.11358,51.149864,-19.272934,-8.102427,-6.7971306,18.451204,5.505031,-2.8257568,-5.4752183,-0.039569993,0.5,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.95,-2.995732274
