smiles,fr_func_grp_1_solv,fr_func_grp_2_solv,fr_func_grp_3_solv,fr_func_grp_4_solv,fr_func_grp_5_solv,fr_func_grp_6_solv,fr_func_grp_7_solv,fr_func_grp_8_solv,fr_func_grp_9_solv,fr_func_grp_10_solv,fr_func_grp_11_solv,fr_func_grp_12_solv,fr_func_grp_13_solv,fr_func_grp_14_solv,fr_func_grp_15_solv,fr_func_grp_16_solv,fr_func_grp_17_solv,fr_func_grp_18_solv,fr_func_grp_19_solv,fr_func_grp_20_solv,fr_func_grp_21_solv,fr_func_grp_22_solv,fr_func_grp_23_solv,fr_func_grp_24_solv,fr_func_grp_25_solv,fr_func_grp_26_solv,fr_func_grp_27_solv,fr_func_grp_28_solv,fr_func_grp_29_solv,fr_func_grp_30_solv,fr_func_grp_31_solv,fr_func_grp_32_solv,fr_func_grp_33_solv,fr_func_grp_34_solv,fr_func_grp_35_solv,fr_func_grp_36_solv,fr_func_grp_37_solv,fr_func_grp_38_solv,fr_func_grp_39_solv,fr_func_grp_40_solv,fr_func_grp_41_solv,fr_func_grp_42_solv,mol_wt,num_heavy_atom,num_HBA,num_rings,mol_sssr,clogp,molar_refractivity,tpsa,frac_sp3,hall_kier_alpha,labute_ASA,num_valence_electron,max_partial_charge,min_partial_charge,IE
CC(=O)c1c(ccs1)C(=O)O,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,170.003765052,11,3,1,1,1.6489000000000003,41.28280000000001,54.370000000000005,0.14285714285714285,-1.1600000000000001,67.28387068538183,58,0.3367916268088438,-0.47760047032162756,5.406588518
COCCOc1cc(cc2c1ONO2)C#N,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,222.0640568,16,6,2,2,0.7742800000000001,52.91970000000003,72.74000000000001,0.3,-1.97,92.1900402056144,84,0.23721961004000147,-0.48698445464895973,4.773460575
C(=O)(O)[C@H]1[C@@H]2[C@H]3[C@@H]2C[C@@H]1C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,138.06807956,10,1,4,4,0.9730000000000001,34.319799999999994,37.3,0.875,-0.53,59.232108220257885,54,0.3065761122646809,-0.48101094814836814,5.36352434
C/C(=N/c1cc(c2c(c1)ONO2)OCCOCCOCCOC)/O,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.1427010439999,24,8,2,2,1.5436999999999994,85.24050000000005,100.00000000000001,0.5333333333333333,-2.0700000000000003,139.53881779319866,134,0.2372892836286018,-0.496538428054058,4.13477715
CCc1cc2c(cc1NC)ONO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.089877624,13,4,2,2,1.4814999999999992,49.75840000000002,42.519999999999996,0.3333333333333333,-1.42,76.75529013434337,70,0.19751608460582318,-0.38778403974027115,3.546361054
CN(C)C1=CS/C(=C\2/SC=C(O)S2)/S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.956697908,14,6,2,2,3.7904000000000018,69.87180000000002,23.47,0.25,0.21999999999999986,100.25988194885493,76,0.1616550728561375,-0.5014799717125659,3.040865581
C(=O)(OCC)C=C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.052429496,7,2,0,0,0.7355,26.829999999999988,26.3,0.4,-0.79,42.784483782782374,40,0.3296277829557422,-0.46284039207159905,6.126018867
Cn1ccc(=c2ccn(CC#N)c(c2)C(=O)O)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,255.100776656,19,4,2,2,1.57718,70.24680000000001,67.57000000000001,0.14285714285714285,-2.74,110.89182392112096,96,0.35205845821026593,-0.47656139990233287,2.438742167
COC1=CCC=C(c2ccccc2)O1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.083729624,14,2,2,2,2.935600000000001,55.21300000000004,18.46,0.16666666666666666,-1.7,83.46310904699264,72,0.279996085319412,-0.46869380129637095,4.010922332
CC(=O)c1cc(cs1)C(Br)(Br)Br,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.76112208000006,12,2,1,1,4.245700000000001,62.78250000000001,17.07,0.2857142857142857,0.8099999999999998,99.93075765006611,66,0.169219732089189,-0.29360529220480514,5.524728649
CN1C=C[C]([C]2C=CN(C)C=C2N)C(=C1)C(F)(F)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,269.113982108,19,3,2,2,2.29988,66.7004,32.5,0.23076923076923078,-1.8500000000000003,109.70464621099151,102,0.41452421382491633,-0.40007093603113075,1.879820639
c1c(cc2c(c1C(=O)O)ONO2)C(Cl)(Cl)Cl,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,282.92059064800003,16,4,2,2,2.4023000000000003,57.03,67.79,0.125,-0.8799999999999999,104.7060403692235,86,0.3392481561131695,-0.4775366671919742,4.841348365
CCc1ccc2c(c1OCCOCCOC)[nH]s[nH]2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.1194635,19,6,2,2,2.6914,78.84640000000003,51.75,0.5384615384615384,-1.11,117.81439186910295,106,0.14825185688748144,-0.4886110866699923,3.478838993
CCc1c(C(C)(C)C)nccn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,164.131348512,12,2,1,1,2.3365,50.110000000000035,25.78,0.6,-0.9200000000000002,74.06035176776963,66,0.0671480833261462,-0.2577868350905393,5.189657532
CNc1cccc2c1[nH]sn2NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.078267384,13,5,2,2,1.6577999999999995,58.74110000000002,39.33,0.25,-1.0700000000000003,81.92887748264565,70,0.09512248691638715,-0.38636090151664365,3.506919859
Cc1ccc(/N=C(/C)\O)s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.040484908,10,2,1,1,2.6644200000000007,44.45380000000002,32.59,0.2857142857142857,-0.8300000000000001,63.85614897115442,54,0.18295933721590021,-0.49651927435590754,4.037466931
c1c(c[nH]c1C(=O)N)O,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.042927432,9,2,1,1,-0.18079999999999985,30.9754,79.11,0.0,-1.45,51.30115220416037,48,0.26475435405614284,-0.5063473155052667,4.318696847
c1cc2c(c(c1C(Br)(Br)Br)O)[nH]s[nH]2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.76727008000006,14,4,2,2,4.0878,71.4022,44.29,0.14285714285714285,0.40999999999999986,110.68098006332275,76,0.16300573387746894,-0.5052557909484559,3.543880244
C1CCc2c(C1)c(c(c(c2O)O)O)Cl,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.039671892,14,3,2,2,2.3356000000000017,53.08840000000003,60.69,0.4,-1.0899999999999999,86.57130790702388,76,0.20168409030995987,-0.5039628768972431,4.401539699
